Submission Date,Expenditure,Quantity,Price,Outlier,Purpose,Usage,Source,Sex at birth,First time,Legal status,Consumption,Census subdivision,Census division,Economic region,Province,Census metropolitan area
2018-01-25,5,1,5,0,Use recreationally,,,,,,,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,8,1,8,0,Use recreationally,A few times a year,,,,,0.5,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
2018-01-25,13,1,13,0,Use recreationally,A few times a year,,,,,0.05,Montréal,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Laval,Laval,Laval,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Medicate - without a medical document,,,,,,,Lac-Saguay,Antoine-Labelle,Laurentides,Quebec / Québec,24 - NonCMA
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,60,Montréal-Est,Montréal,Montréal,Quebec / Québec,Montréal
2018-01-25,3.22,1,3.22,0,Use recreationally,A few times per month,,,,,1,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
2018-01-25,5,1,5,0,Use recreationally,Daily,,,,,28,Trois-Rivières,Francheville,Mauricie,Quebec / Québec,Trois-Rivières
2018-01-25,7,1,7,0,Use recreationally,,,,,,,Barraute,Abitibi,Abitibi-Témiscamingue,Quebec / Québec,24 - NonCMA
2018-01-25,6.5,1,6.5,0,Use recreationally,A few times a year,,,,,0.5,Vancouver,Greater Vancouver,Lower Mainland--Southwest / Lower Mainland--Sud-ouest,British Columbia / Colombie-Britannique,Vancouver
2018-01-25,7.5,1,7.5,0,Use recreationally,A few times per month,,,,,1,Ottawa,Ottawa,Ottawa,Ontario,Ottawa - Gatineau (Ontario part / partie de l'Ontario)
2018-01-25,9,1,9,0,Medicate - without a medical document,A few times per week,,,,,7,Amos,Abitibi,Abitibi-Témiscamingue,Quebec / Québec,24 - NonCMA
2018-01-25,7,1,7,0,Use recreationally,,,,,,,Joliette,Joliette,Lanaudière,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Medicate - without a medical document,Daily,,,,,14,Gatineau,Gatineau,Outaouais,Quebec / Québec,Ottawa - Gatineau (partie du Québec / Quebec part)
2018-01-25,5,1,5,0,Use recreationally,A few times a year,,,,,0.5,Longueuil,Longueuil,Montérégie,Quebec / Québec,Montréal
2018-01-25,6,1,6,0,Use recreationally,Daily,,,,,28,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
2018-01-25,5,1,5,0,Use recreationally,A few times per week,,,,,1,Lachute,Argenteuil,Laurentides,Quebec / Québec,24 - NonCMA
2018-01-25,10,1,10,0,Use recreationally,A few times a year,,,,,0.5,Saint-Jean-sur-Richelieu,Le Haut-Richelieu,Montérégie,Quebec / Québec,Montréal
2018-01-25,10,1,10,0,Use recreationally,A few times per month,,,,,3.5,Lévis,Lévis,Chaudière-Appalaches,Quebec / Québec,Québec
2018-01-25,10,1,10,0,Use recreationally,,,,,,,Saguenay,Le Saguenay-et-son-Fjord,Saguenay--Lac-Saint-Jean,Quebec / Québec,Saguenay
